kepid,probability,tier
8043638,0.99870527,High
10717241,0.99860317,High
10656508,0.9981812,High
8121310,0.99775946,High
5613330,0.9975062,High
7021681,0.99737227,High
3559935,0.9973285,High
6508221,0.997033,High
3128552,0.9969764,High
8760040,0.9969001,High
6289650,0.9964425,High
12600735,0.99635565,High
10016874,0.99626154,High
11623629,0.9962404,High
4860678,0.99611366,High
5546761,0.9960019,High
3425851,0.995915,High
5881813,0.99571025,High
5031857,0.9955373,High
7219825,0.9954389,High
9349757,0.9954336,High
4832837,0.99536115,High
10928043,0.9953413,High
6185476,0.9952508,High
4770617,0.9951994,High
10662202,0.9950406,High
1432789,0.9949509,High
5978559,0.9944936,High
8934103,0.9944859,High
4831728,0.9943902,High
5299459,0.9939942,High
6862328,0.99384755,High
9414417,0.9936047,High
3240158,0.99348456,High
5184911,0.993374,High
5131180,0.9933658,High
10545066,0.9932126,High
11153121,0.99314696,High
9347899,0.9930924,High
6300348,0.99309,High
8261920,0.99299765,High
4932442,0.992892,High
7841925,0.99283,High
2854181,0.99255836,High
7825899,0.9925195,High
12154526,0.9922084,High
10718726,0.99207664,High
9489524,0.9918554,High
8226050,0.9917366,High
9958962,0.99166954,High
4951877,0.99166906,High
10272442,0.9915496,High
12208631,0.99143326,High
4157325,0.99085253,High
11395587,0.99072415,High
2973386,0.9907019,High
11570749,0.9906996,High
9119458,0.9905143,High
12116489,0.990457,High
9117416,0.9903503,High
6705026,0.9902603,High
8265218,0.99017566,High
5080636,0.98996806,High
5695396,0.9899586,High
10730703,0.9898775,High
5526717,0.98943335,High
11709124,0.98937255,High
4645174,0.9891171,High
7449554,0.9890738,High
7107802,0.98879343,High
8949925,0.988739,High
2449431,0.9887023,High
10005788,0.9883913,High
2579043,0.9881875,High
3747817,0.9880949,High
10285631,0.9880619,High
7778767,0.987553,High
12266636,0.9872728,High
8644545,0.987176,High
9664276,0.98682445,High
11810124,0.98654073,High
9904006,0.98649085,High
9605514,0.986446,High
5542466,0.98636013,High
9425139,0.9861101,High
7285757,0.9858365,High
9634821,0.9857399,High
10793172,0.98565334,High
6716545,0.9855768,High
8709688,0.98557043,High
3554031,0.98555773,High
11129738,0.98552775,High
7512982,0.98510474,High
12366084,0.98477143,High
10798331,0.9845258,High
3937814,0.98442936,High
8247770,0.9843205,High
3765917,0.98408115,High
4736569,0.98400855,High
12105051,0.98372793,High
2832589,0.9836224,High
9872283,0.983433,High
5563300,0.98334163,High
8313667,0.98288774,High
6697605,0.98239475,High
8168187,0.98213714,High
6029239,0.9821323,High
8218379,0.9817401,High
5856571,0.98157483,High
8162789,0.98151875,High
6837146,0.9812387,High
6779260,0.98108643,High
5906426,0.98099846,High
4676964,0.98048073,High
6705142,0.9801586,High
5602588,0.98010606,High
4349442,0.9796999,High
9579641,0.9794103,High
7047922,0.9793211,High
9886361,0.97921866,High
6359320,0.97846687,High
4242147,0.9780792,High
5966810,0.97771674,High
9202151,0.97759265,High
9286088,0.9772563,High
11026304,0.977234,High
6934986,0.9770672,High
6871071,0.976599,High
11918099,0.97628593,High
5621333,0.9760425,High
5972334,0.97599006,High
11656918,0.97590804,High
9782748,0.9758992,High
7733731,0.9756447,High
3558849,0.9756276,High
7673192,0.97561634,High
4060229,0.97557753,High
3447722,0.97544754,High
4478168,0.9749063,High
6946199,0.97476494,High
6867555,0.97475797,High
7119481,0.9746314,High
7983117,0.9745038,High
8260218,0.97411126,High
6041734,0.97409093,High
7375348,0.97406864,High
10794087,0.9737055,High
8212002,0.9736115,High
8266276,0.9735885,High
